Team,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG
Alcorn,13.3,42.9,65.2,12.09,69.4,6.9,33.2,14.1
Bowling Green,12.2,42.5,66.7,11.03,73.6,6.9,34.2,12.8
South Ala.,12.8,42.7,65.5,10.53,71.4,7.0,31.8,13.1
Lamar University,14.1,45.9,66.8,11.44,77.1,7.8,36.2,13.4
Murray St.,13.9,44.1,73.5,12.09,80.0,8.8,36.0,12.2
USC Upstate,15.4,45.8,65.7,12.00,78.0,8.6,34.6,12.8
High Point,12.6,43.3,74.4,9.90,68.8,6.3,37.7,13.1
Indiana St.,13.5,41.6,68.1,8.48,70.0,8.2,35.0,12.8
Campbell,11.7,45.6,75.1,7.86,71.7,7.9,36.8,12.9
DePaul,11.4,43.0,73.5,10.59,68.9,5.8,32.6,14.1
Delaware,11.7,42.1,68.6,9.76,65.4,5.9,30.4,12.0
Ill.-Chicago,14.6,44.4,71.1,11.72,76.4,7.6,36.5,16.4
UNLV,12.9,39.5,69.6,11.41,68.8,6.7,32.0,12.8
Robert Morris,10.5,40.0,64.7,11.00,64.4,5.5,31.9,15.1
Little Rock,11.8,44.3,74.1,9.53,68.4,6.5,34.6,12.9
Northern Ill.,10.8,43.8,67.7,12.53,72.2,5.0,31.2,13.4
Wagner,10.9,42.8,69.1,14.47,68.2,6.1,33.2,14.1
Charlotte,12.0,44.4,74.6,7.47,76.5,7.9,37.6,12.2
Portland,9.8,42.3,74.0,8.42,67.1,6.5,37.3,12.8
Saint Francis (PA),13.9,46.7,69.2,10.41,75.8,8.1,39.1,14.7
Saint Louis,12.8,40.4,66.3,8.45,61.4,7.0,34.2,13.4
Norfolk St.,11.0,42.4,68.1,10.74,69.8,6.6,33.9,14.8
Air Force,15.0,43.6,71.7,9.39,73.1,8.0,36.3,12.0
Pepperdine,13.5,44.6,64.1,9.52,69.0,5.7,36.9,12.5
Southeastern La.,14.2,45.0,68.3,12.00,70.9,6.7,36.3,16.0
Eastern Ky.,13.8,42.8,70.5,9.23,70.9,7.6,32.1,13.9
Missouri,12.1,39.3,68.3,11.16,69.2,7.0,30.4,12.0
Nicholls St.,13.9,42.7,73.9,9.77,74.7,9.0,34.5,14.5
Montana St.,13.2,43.5,73.0,10.50,80.0,10.0,37.5,12.3
Youngstown St.,15.1,44.0,67.2,10.44,76.9,7.4,33.3,11.9
James Madison,11.7,44.4,71.6,9.39,66.5,6.3,33.1,14.2
UTSA,10.8,39.3,66.6,12.88,66.0,5.2,28.3,12.7
Kennesaw St.,15.8,46.2,69.1,11.19,75.0,6.4,41.6,13.5
Milwaukee,13.3,44.1,66.0,8.37,67.1,7.8,34.8,12.0
Austin Peay,10.8,46.9,70.8,8.17,77.7,7.6,35.5,12.4
Manhattan,10.9,41.6,72.9,11.09,70.6,6.5,32.8,16.6
Cleveland St.,10.5,40.5,69.1,10.94,67.2,7.1,30.9,13.1
Columbia,15.6,43.6,70.8,10.11,71.9,7.8,35.9,12.9
Eastern Ill.,15.3,41.7,73.2,11.97,74.8,8.9,37.2,12.8
Duquesne,12.5,42.8,67.6,10.72,70.5,7.1,33.4,14.2
Army West Point,16.2,44.1,65.5,9.91,72.6,9.1,35.3,15.1
Portland St.,15.8,48.2,65.8,10.39,85.3,7.7,34.1,12.1
Cornell,14.5,45.3,69.8,7.55,71.5,8.4,33.9,14.4
Quinnipiac,14.4,42.2,68.3,13.94,76.7,7.4,32.6,14.5
Fairleigh Dickinson,12.2,44.0,76.5,9.70,72.8,6.7,33.2,13.3
